tangut,tibetan
𗀀,དའོ
𗀁,སའས
𗀂,ཆག༹
𗀃,ཤཨོས
𗀄,ངྭའུས
𗀅,རྯའས
𗀆,རྒྭྀས
𗀇,གོམ
𗀈,ཙའོམ
𗀉,ཀཨེས
𗀊,ཆག༹
𗀋,ཕཨོས
𗀌,ཆ
𗀍,འཁཨི
𗀎,རྸེས
𗀏,རྤའས
𗀐,ཇེ
𗀑,ལཡེས
𗀒,ཤོམས
𗀓,ཤེས
𗀔,ཆག༹
𗀕,རྯའས
𗀖,སྡ༹འོམས
𗀗,འཙའིག༹ས
𗀘,ཐྭཡྀ
𗀙,འཕའྀ
𗀚,ཤཨོ
𗀛,ཁཡི
𗀜,ངྭའུས
𗀝,རྭའོ
𗀞,སྟའོམ
𗀟,འནི
𗀠,འཕའྀ
𗀡,ཆག༹
𗀢,ཤཨོས
𗀣,རྷའ
𗀤,ངྭའུས
𗀥,ཏའིག༹
𗀧,འདེས
𗀨,ཐྭཡུས
𗀩,འདེས
𗀪,ལའིས
𗀫,འཕའོ
𗀬,ཐའིག༹ས
𗀭,ཐྭཡུས
𗀮,ཐའིག༹ས
𗀯,ཐྭཡྀ
𗀰,སྠྀ༹
𗀱,ཕཨོས
𗀲,ཆིག༹ས
𗀳,འརྕྀ
𗀵,མའེས
𗀶,ཐའོམ
𗀷,ཁཡུས
𗀸,འཐའེ
𗀹,ཟཡི
𗀺,རྣའྀས
𗀻,ཚྭིམ
𗀼,སྐའས
𗀽,ཏའིག༹
𗀾,རྩའིག༹
𗀿,ལི
𗁀,ཀའོ
𗁁,ཝེས
𗁂,ཛིག༹ས
𗁃,སྐུ
𗁄,མའོས
𗁅,སྡ༹འ
𗁆,སྦེ
𗁈,ཏྭའ
𗁉,སྥེ
𗁊,སྦཨ
𗁋,ཏག༹
𗁌,འརྡའེས
𗁍,བུ
𗁎,སྗིས
𗁏,འཀཨོ
𗁐,སྨོས
𗁑,འདྀ༹
𗁒,རྸེས
𗁓,ཏའྀ
𗁔,སྟའ
𗁕,སྟའ
𗁖,སྡོས
𗁗,མཡེས
𗁘,རྸེས
𗁙,འརྐྀས
𗁚,འརྐྀས†
𗁛,སྡ༹འས
𗁜,རྭོ
𗁝,གིག༹
𗁞,ཆག༹ས
𗁟,སྐུ
𗁠,ཝའོམས
𗁡,ཕཡི
𗁢,འཐ༹ཨས
𗁣,ཛཡྀ
𗁤,ཛཡྀ
𗁥,སྕོས
𗁦,སྦེ
𗁧,ཏའིག༹
𗁨,འབིས
𗁩,ཏའིམ
𗁪,ཐའིག༹ས
𗁫,སའྀ
𗁬,ཐའོམ
𗁭,ཇོག༹
𗁮,ཆི
𗁯,ཁཨྀས
𗁱,ཡཡེས
𗁲,མའེས
𗁳,ཡག༹ས
𗁴,སྡྀ༹
𗁵,ཡཡེས
𗁶,འཕེ
𗁷,ཁཨ
𗁸,སའིས
𗁺,རྐི
𗁻,སྠེ༹ས
𗁼,བཡེས
𗁽,ཚའེ
𗁾,སྟའ
𗁿,སྟའ
